,name,review,rating,review1
153,Fisher Price Nesting Action Vehicles,"We bought these for our son when he turned two. He had seen them at a playmate\'s home and LOVED them. I liked them b/c unlike some of the other cars for sale...there is some learning value and they are VERY durable. They have been thrown, rolled, stepped on, etc and still show no signs of wear. Highly recommend!",5,"we bought these for our son when he turn two. he had seen them at a playmate\' home and love them. i like them b/c unlik some of the other car for sale...ther is some learn valu and they are veri durable. they have been thrown, rolled, step on, etc and still show no sign of wear. highli recommend!"
154,Fisher Price Nesting Action Vehicles,"My son loves stacking cups, so a friend recommended this toy to me.  My son loves it and he enjoys pushing them around the floor.  They nest nicely into each other, which makes it a great toy for the diaper bag.",5,"my son love stack cups, so a friend recommend thi toy to me. my son love it and he enjoy push them around the floor. they nest nice into each other, which make it a great toy for the diaper bag."
155,Fisher Price Nesting Action Vehicles,"My son Cameron just loves these great little stacking cars!  He enjoys stacking them and slapping them down and each has great little things that they do such as his fire truck has a ladder that clicks up and down, police car has a spinning &quot;light&quot; bar, and so on.  I think it\'s great, brightly colored and has great little faces....I would give this as a gift in the future, not a wasted toy, Oh the little wheels roll, too!",5,"my son cameron just love these great littl stack cars! he enjoy stack them and slap them down and each ha great littl thing that they do such as hi fire truck ha a ladder that click up and down, polic car ha a spin &quot;light&quot; bar, and so on. i think it\' great, brightli color and ha great littl faces....i would give thi as a gift in the future, not a wast toy, oh the littl wheel roll, too!"
156,Fisher Price Nesting Action Vehicles,"My one year old son received these as a birthday gift. He loves them. Not only are they stackable, which helps with hand-eye coordination, but each car has individual moveable features. Although these features are small, they got his attention. The bright colors are nice also. They are a great buy for the price!  I highly recommend them as first trucks for a small child.",5,"my one year old son receiv these as a birthday gift. he love them. not onli are they stackable, which help with hand-ey coordination, but each car ha individu moveabl features. although these featur are small, they got hi attention. the bright color are nice also. they are a great buy for the price! i highli recommend them as first truck for a small child."
157,Fisher Price Nesting Action Vehicles,I purchased this toy for my great grandson\'s first Christmas. He will be 6 months old. I can\'t wait to play with it with him. This is the first baby in our family for 18 years and all the family is waiting for the fun... I will be ordering a lot more soon. Thank you for the convenient shopping. AJ\'S Gee-Gee (Great Grandmom),5,i purchas thi toy for my great grandson\' first christmas. he will be 6 month old. i can\'t wait to play with it with him. thi is the first babi in our famili for 18 year and all the famili is wait for the fun... i will be order a lot more soon. thank you for the conveni shopping. aj\' gee-ge (great grandmom)
158,Fisher Price Nesting Action Vehicles,"I\'ve owned this set for several years.  My 4 granddaughters love to play with the cars.  Stacking, nesting, playing with the few moving parts.  It is one of their favorite toys when they come over.  And it is definitely one of mine - Lots of play value that stores very well.  They have learned colors, and numbers with these also.",4,"i\'v own thi set for sever years. my 4 granddaught love to play with the cars. stacking, nesting, play with the few move parts. it is one of their favorit toy when they come over. and it is definit one of mine - lot of play valu that store veri well. they have learn colors, and number with these also."
159,Fisher Price Nesting Action Vehicles,"These are a huge hit with my one year old son.  We received these cars as a gift when my son was first born.  He started taking a real interest in them when he was about seven months old and still plays with them every day.  They are simple, durable, do not require batteries, and are easy to clean.  We\'ve traveled a lot with my son and these make terrific travel toys as they pack up easily and don\'t take up much space since they nest.  The smallest car rattles and is the perfect size for little hands.",5,"these are a huge hit with my one year old son. we receiv these car as a gift when my son wa first born. he start take a real interest in them when he wa about seven month old and still play with them everi day. they are simple, durable, do not requir batteries, and are easi to clean. we\'v travel a lot with my son and these make terrif travel toy as they pack up easili and don\'t take up much space sinc they nest. the smallest car rattl and is the perfect size for littl hands."
160,Fisher Price Nesting Action Vehicles,"This is a great toy.  The wheels really work and each car has a special feature.  They store easily for packing on trips and putting away.  Both of my kids (boy and girl) have played with them.  They are brightly colored.  And best of all, these do not use batteries!",5,"thi is a great toy. the wheel realli work and each car ha a special feature. they store easili for pack on trip and put away. both of my kid (boy and girl) have play with them. they are brightli colored. and best of all, these do not use batteries!"
161,Fisher Price Nesting Action Vehicles,My 11 month old received these last Christmas and he instantly began running them along the floor and playing with them. He is now 22 months and I have taught him his colors using these and he STILL loves to play with them.  One got run over by an electric scooter and it didn\'t even break! All parents should get these for your baby.  This is the one toy that will NOT sit and collect dust!,5,my 11 month old receiv these last christma and he instantli began run them along the floor and play with them. he is now 22 month and i have taught him hi color use these and he still love to play with them. one got run over by an electr scooter and it didn\'t even break! all parent should get these for your baby. thi is the one toy that will not sit and collect dust!
162,Fisher Price Nesting Action Vehicles,My 14 month old son loves to stack and play with these little cars.  They are durable and easy to clean.  I throw them in  the diswasher and they hold up great.  They are well worth the money to me.,5,my 14 month old son love to stack and play with these littl cars. they are durabl and easi to clean. i throw them in the diswash and they hold up great. they are well worth the money to me.
163,Fisher Price Nesting Action Vehicles,"Great toys, we always pack one or two in the diaper bag, our 7 month old loves to play with them and I don\'t worry at all about him chewing on these toys as there are only smooth surfaces",5,"great toys, we alway pack one or two in the diaper bag, our 7 month old love to play with them and i don\'t worri at all about him chew on these toy as there are onli smooth surfac"
164,Fisher Price Nesting Action Vehicles,"My son has played with these from 6 months old, and still likes them occasionally (18 months now).  The small car is nice for babies to shake.  They don\'t do much, but they are cute.",4,"my son ha play with these from 6 month old, and still like them occasion (18 month now). the small car is nice for babi to shake. they don\'t do much, but they are cute."
165,Fisher Price Nesting Action Vehicles,After being inundated with toys that require batteries and make so much noise this was a breath of fresh air. My son loves these vehicles! We got this when he was 6 months old. We stack them on top and he loves to knock it over. We nest them and he loves to find the surprise vehicle underneath. Now that he is 8 months old he is figuring out that the wheels move as well as some of the other moving features on each vehicle. I highly recommend this toy.,5,after be inund with toy that requir batteri and make so much nois thi wa a breath of fresh air. my son love these vehicles! we got thi when he wa 6 month old. we stack them on top and he love to knock it over. we nest them and he love to find the surpris vehicl underneath. now that he is 8 month old he is figur out that the wheel move as well as some of the other move featur on each vehicle. i highli recommend thi toy.
166,Fisher Price Nesting Action Vehicles,"I bought these for my 1 1/2 year old, and he loves them (and so does his 5-year old brother). They both stack the cars, hide them and ""vrroomm"" them. It is great to find a toy that doesn\'t need batteries or require an engineering degree to put together!Highly recommended.",4,"i bought these for my 1 1/2 year old, and he love them (and so doe hi 5-year old brother). they both stack the cars, hide them and ""vrroomm"" them. it is great to find a toy that doesn\'t need batteri or requir an engin degre to put together!highli recommended."
167,Fisher Price Nesting Action Vehicles,We bought these trucks for our 15 mo. old daughter and 4 mo. old son- We love them!  They are nesting which is fun for our daughter to look underneath the trucks to find the next one or they can stack one on top of the other to make a tower.  Perfect first trucks!  And they aren\'t too big- a perfect size!,5,we bought these truck for our 15 mo. old daughter and 4 mo. old son- we love them! they are nest which is fun for our daughter to look underneath the truck to find the next one or they can stack one on top of the other to make a tower. perfect first trucks! and they aren\'t too big- a perfect size!
